"","COUNTY","CTYNAME","CENSUS2000POP","ESTIMATESBASE2000","2000","2001","2002","2003","2004","2005","2006","2007"
"22001",22001,"Acadia",10765,10765,10809,0.370061985382552,0.0368697575813439,1.23468165484198,-0.136524984072085,1.33065986146555,3.56179168915273,-0.0434253951710961
"22003",22003,"Allen",6280,6280,6303,0.0951927653498334,-1.42653352353780,-0.192957067052581,0,-3.27050104720477,5.84610259826782,-0.23603461841070
"22005",22005,"Ascension",15593,15444,15655,2.24848291280741,1.71175110888986,1.70136969473620,2.61505012682691,3.91383673709611,16.3740371545084,4.80362096656446
"22007",22007,"Assumption",7376,7376,7395,0.243407707910751,-1.05220558478349,0.43626448534424,0.108592371385910,-1.23389830508475,3.67929708951126,-1.01959745762712
"22009",22009,"Avoyelles",12267,12267,12318,-0.340964442279591,0.88791137178234,1.42107387969318,-0.589125069660059,-0.128133258588932,5.98989656001925,-0.0605235285217128
"22011",22011,"Beauregard",4283,4283,4302,2.44072524407252,0.839573405945087,0.855085508550855,-0.223114680946006,3.39892665474061,5.55795847750865,-0.307314074984634
"22013",22013,"Bienville",6906,6906,6912,-2.57523148148148,-2.22750222750223,-1.77703523693803,-0.309262409154167,-1.55110904296572,0.472664250827162,0.094088129214364
"22015",22015,"Bossier",20563,20638,20758,2.16783890548222,2.01810637495285,1.06766500277316,1.46339232633649,1.82088610447559,4.48408658315258,0.470259278088460
"22017",22017,"Caddo",112755,112680,112849,-0.0389901549858661,0.234918664952795,0.443088352348103,0.748430497222002,0.744618557782225,3.55156888430075,-0.107232317139578
"22019",22019,"Calcasieu",44244,44244,44369,0.205098154116613,0.647773279352227,0.373201036917851,0.843816097072248,0.412858215216143,0.850904773421868,0.516700095927444
"22021",22021,"Caldwell",1891,1891,1892,-1.84989429175476,0.323101777059774,-0.214707461084273,0.0537923614846692,0.0537634408602151,3.17033852767329,-1.14583333333333
"22023",22023,"Cameron",391,391,400,5.5,-1.65876777251185,1.92771084337349,0,0,-33.096926713948,2.47349823321555
"22025",22025,"Catahoula",2965,2965,2968,-0.0336927223719677,-1.71890798786653,-0.377229080932785,-0.516351118760757,-2.00692041522491,6.39124293785311,-0.398274145370063
"22027",22027,"Claiborne",7988,7988,7980,-1.37844611528822,-0.559085133418043,0.281114234602607,-2.65035677879715,2.31675392670157,1.90610208519893,-1.12980165704243
